,NU_INSCRICAO,NU_NOTA_MT
64,45c95a1640ada5c9206fde19c4ccf68929c5ec0c,7.2735
65,c4cea54435c0fd0e171eed4c215479bb3ca86113,460.1503
66,7d5cd89c6112b9a202a025a24355135bc60848c6,502.6191
67,b70ab62384aa80545928a311f5b5d3db2f4d87ee,561.8095
68,c96431dd924f366d2229a7f1455388b8cd85be49,584.4397
69,1b72da5bb82cc150ecfe71218c02f155d694230b,4.7835
70,e429507efe1c2680cc464481850117d17083cd88,6.7038
71,dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,435.5208
72,e724482370ae6126008ade80b564ad8d8a0a7cbd,473.1327
73,2ef4e2788e2f815f9a885c899f75d5dfeb234a02,580.3258
74,c8762fee25b022eb5b4918f8f689e4fb6d19f73c,10.0341
75,e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,504.6616
76,7f898f8939ae054359f83ee154bb91bc7dd2c959,560.2909
77,3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,473.2668
78,82e3b12c6366008fabc238f299f117074e78de5d,413.7392
79,0d838be0e718ceb786cdb10fcc12559e00440240,541.7482
80,1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,472.1159
81,5a9d89465845ac2d81366275cbb1a81d627efd36,9.2575
82,c83fe640ba466ba904ac1055e53a875289888797,463.4972
83,8855ae8971b9bd9b02c45a82c6c894a2e76ca542,494.1877
84,a2945f1e7fbadac669590b7d9fafb6c900bca3d0,401.346
85,328639a0c753715c30a58bae70c82f2101153eb3,466.272
86,ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,16.9618
87,643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,552.2043
88,f56746cc2900258507d2b32c126f8db090db856f,466.9677
89,1a4963b5fea8bb25c67750cdafbe84b01efad177,435.1288
90,b520c940e62f4ed684417e7eacf00d85752060da,480.6965
91,2e170cf2651ed448991af6fc5df15167733b2d8f,508.1126
92,6efdd93a0ae289be6bb5a400bfc1deb077d75886,419.9423
93,72ac2acc787d8cba0934cca3810ac091d792c8db,528.8789
94,92a25eee14554806f081869cc9dac868fd1860fb,466.7805
95,1f12a9b01eb9ef227a5482f498f3354bd485d9a3,430.5894
96,acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,497.3051
97,7ec2f787b9f57044bd98c0d4854f521c9f9ec635,604.8819
98,e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,470.1892
99,1730807e4916c5f7e8ab21e02ac5657bcea3e732,28.2958
100,b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,485.8267
101,1a46d99716282410d1170f0f35069b34e34415d4,426.249
102,0467e022da4ef897f666bc76f31e1bc8976f7e92,535.4437
103,993aca0d5eac6741117947c82a3647102096255e,470.6757
104,94c96ade6ade21deb080bba6aad537fc4f195d47,502.4962
105,36bb672077a46a3e4755cef90437a616d28bdf23,459.8134
106,e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,392.0387
107,328ca19128d276eb4fbc309c54ec7f346c803d2f,728.959
108,27cdb62f0a2a5467efeb30aafbf246ed2320c532,391.1693
109,c52cae37c3653620bbec72264c502f45ca2a8671,-0.9301
110,f9ef2695eb0986666093945894b8f2fee351bf22,539.0288
111,2178c497293d0cab01ce74f5105b1a398fb12d8e,8.342
112,e21faa0c07406dde71ec02f266b19b314ba8b0e2,9.9541
113,8a021391cdaac100dab56c59284bd50137a74129,547.6945
114,12ee0df69325d97cb95404958c4acf4112aeab8a,21.8946
115,b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,507.8549
116,66cf0f8b5af2466f9616fd15c0c10344df84982a,72.3361
117,720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,484.9796
118,60edc5708acd60680891ea15379dd07c7a5924ff,5.0536
119,b9f786712775e0d1d735398d710b01f404c985a3,422.2289
120,564958997e204bda06fbe90afc4722805c78a855,559.1866
121,36f38ea81d1305770cd5153f1e1667fe8a1eb47f,427.1962
122,527098f4ee3ceb5c393981930d23b8fe154f4db9,-1.2146
123,5a42c3f801e77d628649a6c34f3a4e5b80f232f7,498.0813
124,8296743fdd105ce9183561cf5b359b0a3781465e,456.8137
125,a3b79e8c739832c77df2ba6bcdb23a7518155a33,10.7014
126,6602c7f15a1fdd082265b64976448c6809df792d,512.9668
127,31ae66f0fe024acae4490915c348e487f2367574,530.0662
128,81901aa980653106e64863d957387d24e2c00af3,416.0747
129,28e10d1bd0b6effe0edd503446ebda948ad240ad,444.9327
130,53a7ee52a87f80241e2ca13c923e06b72bf3a059,429.8696
131,50be5f75fdaedae454b0c3d63b7277854bd08d8f,55.9406
132,82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d,1.99
133,0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,586.7902
134,d1e2b5c758988b6d69e90aedab3e02cae47d61c4,11.5444
135,02681b5c893b94db204713cb4b20dde6fc3f2f95,535.1519
136,6ce4c0e0784b3881b36b3d1c047ac6ad121681da,449.214
137,829dd51f77f3ae74c2216de2d86139bd0a03367c,12.9069
138,28c6829e69879bc1d34db1cd51b89562d3cc596b,523.1317
139,ecb9f0d7a261c9f27865ea22f2e643701f721eb6,479.4016
140,96715a069fbcb2e84b26a01563921962ccc4601e,15.1766
141,923538833160e8432636c88e8119378a43b3d766,459.179
142,aacb834258765a2959ee63c57d2be4923d11a696,455.6042
143,c32e484025571dd94255a77f21de08ab8d2aaba8,489.8827
144,d425deeec0a3c7006f14d732eff8933d5155067f,473.7595
145,f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,502.1631
146,716a178e9a6f7791b820da77879943ac9040a547,486.1406
147,430212cd8767ef2bff8cda0f61729203fef7523e,422.1013
148,e97d33221238e445688a0e984778d4ecac788be2,527.6455
149,695c9481580951d830c4431fc6c9dee778ba9ca1,37.6829
150,4bc5712bdb9067b1814e969e71d5cdad59bb38d4,528.3489
151,0411742cbb54fe1b6927b25f0bb52b885828c828,413.6198
152,780505a9d5fc3c6da53686c0cc8bd871f4db00bc,414.7393
153,bc40729846bf209b06e2a9a890e01d4e6780f5b4,18.7645
154,e4e7a38b58319ad0a5cde4848622b21783c907e9,501.2341
155,9c5a0a82074c75cb072752d71da42b9c6c27b0a3,569.2951
156,aec1b63c3f0c9554e533752d8fe138ca82101d4a,433.8452
157,4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,521.4703
158,4b48d500ba4410546ce01f7f6d44bcbafa73994f,414.1282
159,edf33c347c866d26872f540bcc1f6ae415f3294c,484.2618
160,54f4e6037b9d1eb4a2a134306d37176787f1c1d3,587.3461
161,3a265ea6ebdc4eb2520db912adf5592f03b3d634,429.8964
162,99bfcef2dc3695a617f241bfd3b6ead3fd653d41,12.5943
163,0ade5488fd62db34c11a369bdbb4327faacc1635,13.6273
164,e418fbb77e6ff4103205f3b7f6a66d53183d809b,476.2291
165,8ddbfe70cd41135cb6f125335a48d100789edbf7,410.0963
166,fa2f4f80278ac5441ab2f2d8c02a9f920ba6c119,9.8601
167,1d3e406d0223d4cb0328850d689ba9fcadf62776,466.1547
168,67d9e9d6629fff7ad9cdb0f1e48c76865637aa73,-0.6383
169,ecaf075653faf2dcdf946c0ce50629f5083347c0,418.3372
170,7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,509.9122
171,d43894c5e83bb3a7e5000636295b0b050de19309,10.0782
172,5b7877d12550dd35d27a02b66a13f2a27bce11ca,447.8743
173,18f800ec03e33ebad5fb97aa8465dd3e5961337e,431.2243
174,bb39cc6296f2c9da3963994899c5c34b50965720,18.798
175,76facda8958cbaf5dba09a4d35d3b4de7596a49d,5.7303
176,b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,484.6102
177,e887be276bf553575b20ed1a0de8833d9cb7e247,33.1492
178,cc8794762ffa592758b5117d67e0d02e2e8b9c49,532.3301
179,894d277c608610fa8c31db531f64582b9569b2e9,432.1145
180,b2e029961aa0f20071b74708e0d97e6f200ec582,469.3021
181,12c7d85e168b09a0278df140a22bcb0052a59b0a,409.4369
182,64c4892488a9c6281bdabf467a0b5a6382d248e6,469.7733
183,944e790f6e64eccf6df361247858165f17dd7abb,21.8193
184,ac112e94587e6e4249b7182329ee5a5040ae94ea,540.3484
185,a58cf11e498228f9aaca92b0c49f955a6163fb59,459.1428
186,e8c84701c041b7f3b39f3125a0449fa633589fbe,510.968
187,af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,577.2338
188,c650c8f7cbe1a7b00f4edbcf43c8b97ce85d0d64,7.7349
189,ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,443.1738
190,e64ad901853230e396be49311ea98121c348fac6,496.0759
191,8532af19be3729ea233c1f29e4c015820fc7fb3a,488.4138
192,6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,468.6552
193,26853fd075fe27954772c3070997635b94f32b83,443.9073
194,3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,566.3223
195,574ec310dee846f9ae8eb278480257d463f6fbcc,508.6293
196,ebb32b8df4ff9b202ba904f310724ce230cb4305,12.6364
197,8a46e35787225c3e7adef2b998ad9c93a952106b,531.7169
198,b62bf908b504e8c6898777a7f5b88afed358caea,419.3213
199,10d22971ca4f53fc62d02905809ff1c37fbb68fc,624.4633
200,0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,426.3517
201,cad47b624b484cb16291449cee30707a46c20199,14.5218
202,8f2c4684ec70392c718c278b10b04ddfbd4ced1f,560.4004
203,bb6c0df09cb6663f142ce6da382b804353453af2,24.1395
204,c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,470.2092
205,7bd0affe1bdd3681a0faecd80a3d48c023b986de,25.0694
206,d76614020539405f481c0f5ffb9e6f88a0bf21b7,439.6182
207,5ce2df96a99343819ead41bf242044177439696d,11.3413
208,c7463ccdb0d2ad76b5823bfd016d420e02f4acc0,13.5031
209,a9216c3fc0c0bf14cda0ca26a71c205458b74896,2.9793
210,92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,514.5548
211,ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,472.0657
212,176b027cd932b17fcb6f119cfcef338a175062b8,418.4335
213,41474f2dda61d97f38ba79906d3dbcce223d1bd1,516.6042
214,421eb738f9e2ea73e5f4227c915762d6421102ac,27.7298
215,1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,488.6368
216,f113b266aeb3cb19dca62ae88de7cc55a13efbf1,41.0437
217,134d96275e3893946c3a0e1d59f86b336fe64f6e,3.4342
218,d4e97da32ccb6987ec074aa48c24ce949c05a78c,453.8543
219,fa556e489987a0588e9a8edb5327e2bde1679670,7.8676
220,95c1d266a2524560761df98b376c17604733a6ad,531.7674
221,c11c4303d2632cde64105a35554ecb77a8564260,485.7343
222,30ddf113f77266181ef7bf57ea7d4ca3f505fec7,486.4718
223,6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,557.3176
224,3671441f51dc0c3d052e87d6b8beba46bb70bfeb,447.5117
225,580c34923cbde328e0aef1641dd02033fc862c04,487.3261
226,156e1fb82056b0f6953c443446eb4dcceed7c03b,14.9202
227,29d8bf198da9caa59047268faca60207da24d1b7,535.3482
228,1b3f80a1cd9fff0408e96169fcaf006936b34fed,481.5085
229,b5932043b62e0c58e16e2cc2c9d5489390e5c895,483.6987
230,99092cc60948943c59d68d62ed81a75a03059113,484.8671
231,fbfc631ae23a558d8dd92916cf2e8b5f923b0681,16.6123
232,dd69fca6f17420dc911016a79e70583ca7ea330d,413.224
233,d387995af060965fb9d18973f3dbf4904f071066,410.4514
234,27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,503.5996
235,543674772357cf9d8a7a8e7dfb89384af80ec30e,510.1154
236,80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,436.1155
237,dc2699d27649dbe52ebbe10001c0bb5ba71310c0,-158.7752
238,0736d379ea0962e316ce84cce8e883321be36abb,445.921
239,98cc842c547c69a0d27776e272fd8b61131b0b37,420.4863
240,890b7696fa85ca2b3e90b3951efec2135e88d5cf,478.3462
241,f3c4cd2f095979416fcac08d630fb1b1623ba5d6,648.5019
242,d84b48f7dc7a6e387e6e985525143589754c5b13,435.365
243,71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,516.54
244,dc4fe9d4124d9278f58f6f999711116a3fe58be7,494.2312
245,f6624d763619c0898b34dc02adf06f53a1721cd0,416.1233
246,60b1c12559860e7ad966da4c4db5c78e17278fc0,510.6818
247,a3f3dcb89101d86171f8bb4f4f57939717cf298a,4.2766
248,4f365503582b97ea96462d0d36895a5e7f5926df,449.9056
249,c80869804effb21d50cc8fff3f4c27ba5521240c,406.0129
250,d0f351638d60e84b890a498d69c9a7961cdcdf36,484.4887
251,48e8ec135997ff3676648d5c144c3c7150a7bbb1,419.9601
252,45484014aefd10ea3e4b08fb93e66c251709cca6,472.941
253,ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,437.856
254,b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,423.5297
255,25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,590.67
256,0fb75ce5f51e8afaf504c75de131eb31f89faf4f,408.6347
257,26e6e8cec21236dfc21cf98812a3d99a3f87d99b,624.3067
258,c83c66733c5bd90a59996e473bb69e44f6522976,408.6807
259,69c67ff1933e4fa099182bbcb24a229d0ad84d5d,9.2118
260,4c373daf5547a6292c4905696c148ec83f95f083,39.6856
261,4549620b5459bb28990580f4ca0b4c2adc5b1a68,25.1925
262,87f89c855f377c5b100ad2986cc6569e31d94a98,536.8389
263,d0d8601aab147c191ae37365a930c1ed3eb0414b,7.78
264,9a25537903e8e7eab1dfb357903d241e24e86fb8,2.505
265,eaecf3dd32668664e1dcc2d6c7a69042824806a6,473.6954
266,d19fa85793fcb8ae3126d10592c9c57d3b32971f,13.5688
267,c59b370d3aa06b68878c836bceac844953d74972,504.05
268,5a6d397150d1a9e9c82e120f92d1e782da34bddb,3.6596
269,b2128312e70fdb830091aecb6b27d82617e2e226,413.0565
270,8257941af168c0cc15f28bd596fd922352dae732,418.1943
271,854ce153823802674f35bbe1ec010b12e9b3a56f,441.0645
272,27f1db4e266b154f6f7fbef9c225fab472652a7b,430.0825
273,11b90bed4a05d11169f308370faf81d6e9ca2c4f,434.2423
274,5c55b7aeae6cb75ec715b4629812175239e45c15,5.1349
275,1391c7de937e0fea2ad23ebb111e513bf2aca2af,38.1904
276,e9488c35627294cd8f5a809c0667aef7a3f0d465,7.4358
277,39c22d725a24b290af887b25175ae0a8d560db4b,5.3831
278,e001e1d73163c327a4d800697b1b36cd6921f60d,452.3156
279,b83424ca8973e4b2eebf6eb9e26e842999432d22,414.7409
280,202da3f471204ad489ebf0c3856437337534112d,0.9813
281,912d751c54b46c860c5ba61666fc6fc59ca2689d,380.7526
282,8376d681a277c58f06ab633a06eaa66391126246,12.4889
283,e114f7b197069bde8e158a0dbeaa022dd0c4e280,457.1246
284,fa84edf183bd459ea9394d77bdc191683a75ff66,591.7545
285,76190ff09a736ff83169394b770699b2709c5a27,502.3364
286,515db15df8581ae72bb8e8358833016adee74e02,461.6124
287,e2a05053c19e6fba60d0e582e6c7f371728a7106,460.8035
288,66c14322296ac259374ec98c5c3bb2bd67ba25e9,14.2071
289,2378556841bc8d5746f2b94d6adefc2db20f9518,555.7094
290,1e6d55d7b1f72e9b7a8ea53f60f9434f830bc49a,11.8326
291,796d558152d241567f8a72b535a5e36fe78886f3,465.4573
292,1093edca7a04127a6e04570ee9cb58ef1bc0a69a,528.1828
293,3c748fc7a94edb7ac1484373751ffa8574a3281d,421.3176
294,344a6fc8038e291a6371f94963d7a7f5e1c4d55b,400.3944
295,92510f53e4c26c81c3bb41aa9b4e967d1697cd12,14.0518
296,10a1e8808e744c619376bff659f859cd71e8c41d,453.1251
297,fc959dafc37dde3f173f083486d84ce5c817443f,450.2394
298,6979d91c0a1903a336c640e14eed100821a0e24d,479.6628
299,d4e37c4c1235ce014392f6c8ba0436f195b9e459,543.088
300,65ce75c2865eb4ae98e31b45fdc15f400d59e8cb,54.956
301,565a955a60c6073157aa869c0351c626a7171ef3,562.5831
302,5697c01ee87a008056ebc0993a1028b41a26d251,10.1829
303,99be797e423b5ae08fe342ea772738f71975df47,636.524
304,b579ea83f2d6c15b2c717d16a89827d65f39904b,500.4768
305,e9373b5c22567bec508f2fa2580e4dc3ff687caa,606.5253
306,a465af361b68bd536dd8bf61d522b9b21755ab60,507.5841
307,c8feec2a94d996d03534ce935dec7a034667f107,687.8782
308,af1890b4dbccbf8b6af56051a39bd4b13d1c971b,464.8983
309,f4f7888cfe88b7a3b0f3d94749921976353ae82c,469.647
310,cdf60a765205a4e99eab17c72a68ff9cfd019dc6,480.8128
311,2e466f15ac7b80870736fac2d0cf4bd7f362e852,476.5245
312,85fd1d2ab6ab9205e3ca4770dd1f6205e1f3de70,7.0525
313,fc83a5c665f70f39b4c7d326118cbf21a898e660,595.7719
314,c26fbd904781a4f6c37a8f8969778f687c6c1424,7.0728
315,ced4913c2220be57c54bc9f87bb4f441d5976671,473.4068
316,880ade460a231d722e8bb0e4d17f3c8f77663d37,428.1848
317,7c869f5b89ddf3130c87011b6508ee59e32682c5,432.0189
318,9027f65d4e576928ca59690c280050c53d66506a,675.6818
319,09eb415bcb9842d207139c8bddf32427a134d51e,560.8376
320,f8224c83e27f4921df62876f7ff660b1dab3d974,479.272
321,628b91ee9b4e1e4564424fbfff2ea9f8eddca032,9.1985
322,dfec3182aec0997207e0845b072498065ec89aac,634.2403
323,d653549f6d0ba70e2113b2cc56e9a83e331d2462,552.4466
324,e95674df974af80342f676ca9e3540aecec2b8dc,496.9676
325,f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,524.0414
326,2b7b15015ab18dc51893827c7e3f01d931a70410,9.9928
327,22d86e8b43a9412df86ec15ac231b9919e3ec905,466.1756
328,1c61035799f6afe7f44c1fb68567d7a8945c3943,616.8265
329,d5ed4b8732b0d7127a64f7e71137d321c56cc198,435.5019
330,63edbbe59337f861a710bee4fe8a691d231f23da,450.5446
331,f62bf9257782d839d38f84376b79611ed0de655d,8.3169
332,cf14952b5b09ad1a9497769e3a08da2fd74c6102,13.9413
333,21b8ef230efbfca6b5f15b36a3243d76ed390967,494.5274
334,fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,412.613
335,467fdbfc0c6cab31b0d85ec5e373d82fa3790321,5.7352
336,3de3c134579726fe4606b7a05f82ce19f00adb09,657.0755
337,0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,442.1563
338,bdaf0955746c2cdd3b9ac2538c7502d312fffed8,413.899
339,520c60d32fd2af8be76abd332859b36d8ae45900,448.9618
340,6cb6e2310b52c2898e500f81bea938446592568b,470.4224
341,0193b535914e1c5a445bede11a408bf1709cd3cb,477.0676
342,f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,518.4885
343,c512a461034cd90a9c5f1a32332b748041cfeba3,15.2481
344,6f77bbe0fc418131d06d15f50b30073eae680dbb,17.9127
345,9b378e3937af8e97d4753cdf0c8917306354aaaf,487.1238
346,1c92f54a5fe563622a0e23cf116461a7e147efd8,543.5448
347,90facc45f7578775e3278aa0bd4fb59dad4d37c1,443.9287
348,563bd02a1204c85e79026a020ba5af29bce95c12,93.4865
349,c8062c4cc7e023996bd37b87295f5a2957ddb172,465.3018
350,ea7cc5987f9cc7f756d501961f64fa5769013823,14.0058
351,f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,602.0421
352,7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,460.8098
353,1b61f7e184c7040ae4cea725153965e1f7f75308,450.8771
354,aea68e00d370c2a0cfd02bf868824dec427bf23a,9.7251
355,bdfdc7207977f88b15b3d0559fbf6f05b970c9cb,15.6228
356,95a9c65324583892b2d1a0c1c5163488f92d4a6d,406.7342
357,5b7e7632cf766876026d0da6aa7c6df77bc13438,447.5901
358,a3be14b06b7aef01331da18e7a1678222b563151,13.2311
359,92b8965cf3fb76d11e5061f26e577c23d212b9c5,37.3093
360,96fd0462597b8cf21b1e918c1947106cd8359e5d,519.0338
361,5c1cef937c40bf8c30c119160bedde7ef679454e,595.8607
362,27dce80bee1eadbcd82bc7d09adb063e116870f6,0.5557
363,271a7e5b703fc3f29f6669415048a760e6355c5b,8.0653
364,e39fbeab552a4b6492346d821d095c3a0d691555,443.2116
365,93694c58636eabfe86550e734efb3775ba4d739f,484.4702
366,8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,677.6024
367,6c05e70130682975c1485a862b6e08b895650671,443.4562
368,8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,417.7034
369,15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,386.4003
370,283df09083d3c7bec2590f22355c7ba32ec88623,518.5556
371,40b96e97dc29dfc990656e30c1038e846b6c8ff2,6.9884
372,ff362d0a648559b9146fb97ee248eb423c3d6a50,3.6785
373,717ae2ab18e7ba03c4f3af66500ece6580b29b71,13.2806
374,5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,597.9434
375,23131f453efc29c2af9553d307692c60a3add1ae,505.0856
376,da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,461.0074
377,941646a7d24ee2837d7de90ff0a736bb8f61d68c,405.1845
378,cd705413010e6e74f3b90ee78dbbd8b767488f0c,0.4535
379,5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,503.3196
380,cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,454.9996
381,72882a9cffe151d94be90e02ce3967a91b628099,507.0097
382,cf62916c9829bd3ad05104151eee856d6de7ca1c,583.333
383,6b8f4241357e65c0491cc0ef96396f811574134c,462.3967
384,298806ed4313157d412e860ac3ea8833d6ca6970,6.1957
385,268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,423.8023
386,4485f973590cff61be5ec78cb3032d5fdf25b809,1.8192
387,afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,458.9633
388,e2252b8e020cdf19b796baeb7b2c7b000a7bfb87,17.6565
389,8288badec4740382dbf7c33e4095cd4db0021bf7,417.5854
390,5e139289eb167622f915eea3d1d6e49d15d1c873,545.0837
391,fc050b2c8fa3446890fe1418332352177dd34506,470.4594
392,8f309746992f374b4c2ea88f171233a9469ba649,478.2483
393,ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,488.8388
394,145b6344526f9df32f4046c8227282477c51d69f,450.0689
395,a22cd8d6b6ce7424065e477f2973bfd49b1ff2d6,468.7242
396,b23775f4cd460ba687d77b058f2bc46381a0fbfe,459.2498
397,87c4839ae2e1f274e88e7b9644fc1e1991d10aa2,576.9122
398,9d2de5f93789220f3287c5b2bff6e4ca5c0f5e42,9.1634
399,08b5008c1ba3ee34dcafcb332c51d485da0313f4,4.9644
400,d0c56c5d1e19653aeb2c6fdf16c80ed09270dcaa,464.2289
401,2bf8abe8000927aeff885fdb26e82579b54bb657,420.4609
402,fb745761567cc26fe3b8240866c481797bc4aedf,25.0276
403,dfcd80c91cf897b5a23dc36aeaeabf8137049ae0,545.1426
404,3ef584654da4e658ecdffb68bc4398c97f850ccf,462.6513
405,342a52f77f29b040bf07e9d4de7029ad604de09c,0.0596
406,ea90166cae72eec871b4100ed8df997253bea84b,479.2254
407,0e63d5d397c72b9c9ffa3974b3ccc8c228da98ca,523.7154
